Testing with Activation Function: ReLU
Epoch [561/1000] - Loss: 0.2403
Epoch [562/1000] - Loss: 0.2836
Epoch [563/1000] - Loss: 0.2744
Epoch [564/1000] - Loss: 0.2401
Epoch [565/1000] - Loss: 0.2444
Epoch [566/1000] - Loss: 0.2460
Epoch [567/1000] - Loss: 0.2309
Epoch [568/1000] - Loss: 0.2379
Epoch [569/1000] - Loss: 0.2372
Epoch [570/1000] - Loss: 0.2286
Epoch [571/1000] - Loss: 0.2319
Epoch [572/1000] - Loss: 0.2310
Epoch [573/1000] - Loss: 0.2313
Epoch [574/1000] - Loss: 0.2431
Epoch [575/1000] - Loss: 0.2215
Epoch [576/1000] - Loss: 0.2277
Epoch [577/1000] - Loss: 0.2351
Epoch [578/1000] - Loss: 0.2523
Epoch [579/1000] - Loss: 0.2330
Epoch [580/1000] - Loss: 0.2450
Epoch [581/1000] - Loss: 0.2437
Epoch [582/1000] - Loss: 0.2480
Epoch [583/1000] - Loss: 0.2360
Epoch [584/1000] - Loss: 0.2254
Epoch [585/1000] - Loss: 0.2261
Epoch [586/1000] - Loss: 0.2261
Epoch [587/1000] - Loss: 0.2241
Epoch [588/1000] - Loss: 0.2394
Epoch [589/1000] - Loss: 0.2380
Epoch [590/1000] - Loss: 0.2298
Epoch [591/1000] - Loss: 0.2287
Epoch [592/1000] - Loss: 0.2283
Epoch [593/1000] - Loss: 0.2363
Epoch [594/1000] - Loss: 0.2390
Epoch [595/1000] - Loss: 0.2393
Epoch [596/1000] - Loss: 0.2304
Epoch [597/1000] - Loss: 0.2224
Epoch [598/1000] - Loss: 0.2291
Epoch [599/1000] - Loss: 0.2282
Epoch [600/1000] - Loss: 0.2698
Epoch [601/1000] - Loss: 0.2975
Epoch [602/1000] - Loss: 0.2331
Epoch [603/1000] - Loss: 0.2575
Epoch [604/1000] - Loss: 0.2442
Epoch [605/1000] - Loss: 0.2294
Epoch [606/1000] - Loss: 0.2314
Epoch [607/1000] - Loss: 0.2329
Epoch [608/1000] - Loss: 0.2336
Epoch [609/1000] - Loss: 0.2280
Epoch [610/1000] - Loss: 0.2276
Epoch [611/1000] - Loss: 0.2265
Epoch [612/1000] - Loss: 0.2264
Epoch [613/1000] - Loss: 0.2236
Epoch [614/1000] - Loss: 0.2253
Epoch [615/1000] - Loss: 0.2226
Epoch [616/1000] - Loss: 0.2243
Epoch [617/1000] - Loss: 0.2236
Epoch [618/1000] - Loss: 0.2199
Epoch [619/1000] - Loss: 0.2308
Epoch [620/1000] - Loss: 0.2257
Epoch [621/1000] - Loss: 0.2258
Epoch [622/1000] - Loss: 0.2285
Epoch [623/1000] - Loss: 0.2188
Epoch [624/1000] - Loss: 0.2303
Epoch [625/1000] - Loss: 0.2218
Epoch [626/1000] - Loss: 0.2194
Epoch [627/1000] - Loss: 0.2312
Epoch [628/1000] - Loss: 0.2230
Epoch [629/1000] - Loss: 0.2377
Epoch [630/1000] - Loss: 0.2200
Epoch [631/1000] - Loss: 0.2276
Epoch [632/1000] - Loss: 0.2306
Epoch [633/1000] - Loss: 0.2166
Epoch [634/1000] - Loss: 0.2333
Epoch [635/1000] - Loss: 0.2267
Epoch [636/1000] - Loss: 0.2480
Epoch [637/1000] - Loss: 0.2303
Epoch [638/1000] - Loss: 0.2340
Epoch [639/1000] - Loss: 0.2274
Epoch [640/1000] - Loss: 0.2274
Epoch [641/1000] - Loss: 0.2214
Epoch [642/1000] - Loss: 0.2478
Epoch [643/1000] - Loss: 0.2188
Epoch [644/1000] - Loss: 0.2188
Epoch [645/1000] - Loss: 0.2270
Epoch [646/1000] - Loss: 0.2152
Epoch [647/1000] - Loss: 0.2327
Epoch [648/1000] - Loss: 0.2262
Epoch [649/1000] - Loss: 0.2199
Epoch [650/1000] - Loss: 0.2154
Epoch [651/1000] - Loss: 0.2133
Epoch [652/1000] - Loss: 0.2222
Epoch [653/1000] - Loss: 0.2130
Epoch [654/1000] - Loss: 0.2149
Epoch [655/1000] - Loss: 0.2200
Epoch [656/1000] - Loss: 0.2943
Epoch [657/1000] - Loss: 0.2978
Epoch [658/1000] - Loss: 0.2380
Epoch [659/1000] - Loss: 0.2190
Epoch [660/1000] - Loss: 0.2181
Epoch [661/1000] - Loss: 0.2085
Epoch [662/1000] - Loss: 0.2249
